rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,st_teff,st_mass
1548,Kepler-1431,Transit,1,5.86601526,,,1270,5806,1.03
1549,Kepler-1432,Transit,1,23.9109011,,,1552,6031,1.09
1550,Kepler-1433,Transit,1,4.13592271,,,1328,6097,1.14
1551,Kepler-1434,Transit,1,8.05333618,,,680,6291,1.47
1552,Kepler-1435,Transit,1,4.45343281,,,681,6356,1.21
1553,Kepler-1436,Transit,1,9.705716,,,1142,5972,1.06
1554,Kepler-1437,Transit,1,10.9295461,,,1182,5557,0.93
1555,Kepler-1438,Transit,1,2.31942009,,,866,5530,0.97
1556,Kepler-1439,Transit,1,8.07392849,,,215,3578,0.46
1557,Kepler-144,Transit,2,5.885273,0.066,,,6075,1.03
1558,Kepler-144,Transit,2,10.104665,0.094,,,6075,1.03
1559,Kepler-1440,Transit,1,39.859484,,,685,5698,0.98
1560,Kepler-1441,Transit,1,39.4419839,,,751,5802,1
1561,Kepler-1442,Transit,1,81.4162941,,,525,6394,1.34
1562,Kepler-1443,Transit,1,2.41811321,,,475,6289,1.19
1563,Kepler-1444,Transit,1,33.42035034,,,340,5810,1.03
1564,Kepler-1445,Transit,1,10.60052251,,,482,6150,1.13
1565,Kepler-1446,Transit,1,0.68996783,,,162,4865,0.81
1566,Kepler-1447,Transit,1,56.6747285,,,871,5722,0.97
1567,Kepler-1448,Transit,1,12.27065865,,,786,5774,0.95
1568,Kepler-1449,Transit,1,13.2274528,,,1321,5979,1.08
1569,Kepler-145,Transit,2,22.951,,0.117,,6022,1.32
1570,Kepler-145,Transit,2,42.882,,0.25,,6022,1.32
1571,Kepler-1450,Transit,1,54.5094166,,,490,4524,0.71
1572,Kepler-1451,Transit,1,35.622233,,,1159,5782,1
1573,Kepler-1452,Transit,1,42.913751,,,974,6101,1.41
1574,Kepler-1453,Transit,1,47.1611696,,,1284,5665,0.97
1575,Kepler-1454,Transit,1,47.0319479,,,795,5448,0.9
1576,Kepler-1455,Transit,1,49.276764,,,392,4075,0.62
1577,Kepler-1456,Transit,1,18.1373829,,,379,4231,0.64
1578,Kepler-1457,Transit,1,51.1110243,,,728,5866,1.01
1579,Kepler-1458,Transit,1,47.9872764,,,642,5653,0.96
1580,Kepler-1459,Transit,1,62.8691611,,,435,4828,0.78
1581,Kepler-146,Transit,2,31.158799,0.2,,,5948,
1582,Kepler-146,Transit,2,76.732171,0.364,,,5948,
1583,Kepler-1460,Transit,1,29.9633247,,,574,4422,0.7
1584,Kepler-1461,Transit,1,29.3494775,,,752,4919,0.79
1585,Kepler-1462,Transit,1,65.6488341,,,1368,5756,1
1586,Kepler-1463,Transit,1,25.15864,,,1341,5679,0.96
1587,Kepler-1464,Transit,2,31.7785901,,,692,5828,1.02
1588,Kepler-1464,Transit,2,5.32786292,,,692,5828,1.02
1589,Kepler-1465,Transit,1,31.8277111,,,350,4726,0.75
1590,Kepler-1466,Transit,1,31.1750448,,,686,5884,1.01
1591,Kepler-1467,Transit,1,47.0569043,,,890,5332,0.86
1592,Kepler-1468,Transit,2,8.23984869,,,1130,5893,1.04
1593,Kepler-1468,Transit,2,3.54553021,,,1130,5893,1.04
1594,Kepler-1469,Transit,1,21.8635301,,,1255,5507,0.92
1595,Kepler-147,Transit,2,12.610584,0.113,,,6012,1.01
1596,Kepler-147,Transit,2,33.416423,0.216,,,6012,1.01
1597,Kepler-1470,Transit,1,16.2950903,,,569,4961,0.8
1598,Kepler-1471,Transit,1,3.63899398,,,1059,5660,0.95
1599,Kepler-1472,Transit,1,38.1312831,,,1269,6159,1.16
1600,Kepler-1473,Transit,1,14.4273551,,,625,6046,1.09
1601,Kepler-1474,Transit,1,36.4333452,,,1214,5870,1.04
1602,Kepler-1475,Transit,1,82.177374,,,1714,6214,1.18
1603,Kepler-1476,Transit,1,10.35863224,,,1218,5663,0.98
1604,Kepler-1477,Transit,1,11.55530021,,,525,5100,0.81
1605,Kepler-1478,Transit,1,26.0840594,,,1405,5904,1.04
1606,Kepler-1479,Transit,1,14.53261362,,,619,5796,0.99
1607,Kepler-148,Transit,3,1.729366,0.028,,,5272,
1608,Kepler-148,Transit,3,4.180043,0.05,,,5272,
1609,Kepler-148,Transit,3,51.84688575,,,,5272,
1610,Kepler-1480,Transit,1,22.12679948,,,540,5156,0.85
1611,Kepler-1481,Transit,1,5.94220998,,,493,4908,0.8
1612,Kepler-1482,Transit,1,12.25383217,,,442,5381,0.88
1613,Kepler-1483,Transit,1,9.5085156,,,1327,6337,1.25
1614,Kepler-1484,Transit,1,30.4549136,,,1095,5730,0.94
1615,Kepler-1485,Transit,1,19.9157725,,,550,6087,1.11
1616,Kepler-1486,Transit,1,54.6495759,,,1465,5965,1.08
1617,Kepler-1487,Transit,1,7.31946363,,,1094,6541,1.38
1618,Kepler-1488,Transit,1,39.8189932,,,618,5820,1.05
1619,Kepler-1489,Transit,1,82.294751,,,870,5655,0.93
1620,Kepler-149,Transit,3,29.198943,0.184,,,5381,
1621,Kepler-149,Transit,3,55.328328,0.281,,,5381,
1622,Kepler-149,Transit,3,160.018032,0.571,,,5381,
1623,Kepler-1490,Transit,1,92.4362973,,,968,5515,0.9
1624,Kepler-1491,Transit,1,16.5861762,,,1312,5728,1
1625,Kepler-1492,Transit,1,16.75255007,,,371,4712,0.77
1626,Kepler-1493,Transit,1,15.0217983,,,572,5863,1.06
1627,Kepler-1494,Transit,1,91.080482,,,1059,5659,0.96
1628,Kepler-1495,Transit,1,85.273256,,,1307,5831,1.03
1629,Kepler-1496,Transit,1,64.6588017,,,1293,6182,1.18
1630,Kepler-1497,Transit,1,8.74199772,,,1122,5675,0.96
1631,Kepler-1498,Transit,1,48.051405,,,740,5256,0.86
